sample,accession
C1_L-10,SRR17562518
C1_L-10,SRR17562519
C1_L-10,SRR17562520
C1_L-10,SRR17562521
C1_R+3,SRR17562514
C1_R+3,SRR17562515
C1_R+3,SRR17562516
C1_R+3,SRR17562517
C2_L-10,SRR17562510
C2_L-10,SRR17562511
C2_L-10,SRR17562512
C2_L-10,SRR17562513
C2_R+3,SRR17562506
C2_R+3,SRR17562507
C2_R+3,SRR17562508
C2_R+3,SRR17562509
C3_L-10,SRR17562502
C3_L-10,SRR17562503
C3_L-10,SRR17562504
C3_L-10,SRR17562505
C3_R+3,SRR17562498
C3_R+3,SRR17562499
C3_R+3,SRR17562500
C3_R+3,SRR17562501
