"ID","logFC","logCPM","LR","PValue","FDR","significance"
"AC022523.1",5.43773946567028,4.22245525789438,17.2488699837374,3.27892507832386e-05,0.022498489223803,"Up-regulated"
"AL031722.1",5.36768066749184,4.18135228719774,16.3993240255183,5.13035224985689e-05,0.0282275518961091,"Up-regulated"
"AC099487.1",5.36315642430281,4.14734447156347,16.2954650174198,5.41934946772931e-05,0.0288237133690296,"Up-regulated"
"AC068025.2",5.29105197249382,4.16188364842711,15.4399558859015,8.51683770750419e-05,0.0399690183708638,"Up-regulated"
"AL109914.1",4.86210509622802,3.87204455259851,19.1156958829556,1.23028931543886e-05,0.012269060198214,"Up-regulated"
