mode,raw_ids,geo_ids,overlap_ids,mean_spearman,C1_L-10_raw_sum,C1_L-10_GEO_sum,C1_L-10_raw_over_GEO,C1_R+3_raw_sum,C1_R+3_GEO_sum,C1_R+3_raw_over_GEO,C2_L-10_raw_sum,C2_L-10_GEO_sum,C2_L-10_raw_over_GEO,C2_R+3_raw_sum,C2_R+3_GEO_sum,C2_R+3_raw_over_GEO,C3_L-10_raw_sum,C3_L-10_GEO_sum,C3_L-10_raw_over_GEO,C3_R+3_raw_sum,C3_R+3_GEO_sum,C3_R+3_raw_over_GEO
v37_M_O_noPrimary,16810,11687,11038,0.5120732272288531,576900.0,151316,3.8125512173200455,710014.0,152936,4.642556363446148,1093436.0,213231,5.127941059226848,640719.0,141799,4.5185015409135465,1497798.0,188199,7.95858638993831,1572014.0,153601,10.234399515628153
v37_M_O_fraction_noPrimary,16810,11687,11038,0.5038747077198562,158486.05,151316,1.0473846123344523,137555.97999999998,152936,0.8994349270282993,347576.44,213231,1.6300464754186774,166282.61000000002,141799,1.1726641936826072,409785.72000000003,188199,2.1774064686847434,389692.86,153601,2.5370463733960062
v37_M_noPrimary,16035,11687,10651,0.4977568542291803,439077.0,151316,2.901722223690819,634666.0,152936,4.149879688235602,940180.0,213231,4.409208792342577,526450.0,141799,3.7126495955542707,1176737.0,188199,6.252620895966504,1241639.0,153601,8.083534612404867
v37_M_fraction_noPrimary,16035,11687,10651,0.4850593558535892,118196.41,151316,0.7811230140897195,115459.54,152936,0.7549533138044672,293311.43,213231,1.375557165702923,132120.47,141799,0.9317447231644793,322814.17,188199,1.7152810057439198,295710.98,153601,1.9251891589247465
v37_M_primary,14976,11687,10300,0.44174244041251587,139798.0,151316,0.9238811493827487,133315.0,152936,0.8717045038447455,327431.0,213231,1.5355694059494163,142114.0,141799,1.0022214543120898,339524.0,188199,1.8040690970727793,296530.0,153601,1.930521285668713
v37_primary_only,12607,11687,9225,0.38236606820769153,60406.0,151316,0.39920431415051943,36444.0,152936,0.2382957577025684,189635.0,213231,0.8893406681017301,64097.0,141799,0.4520271652127307,132610.0,188199,0.7046264857942922,105559.0,153601,0.6872285987721434
