mode,raw_ids,overlap_ids,mean_spearman,C1_L-10_raw_sum,C1_R+3_raw_sum,C2_L-10_raw_sum,C2_R+3_raw_sum,C3_L-10_raw_sum,C3_R+3_raw_sum,C1_L-10_raw_over_GEO,C1_R+3_raw_over_GEO,C2_L-10_raw_over_GEO,C2_R+3_raw_over_GEO,C3_L-10_raw_over_GEO,C3_R+3_raw_over_GEO
STAR_v37_M_O_fraction_noPrimary,16810,11038,0.5038747077198562,158486.05,137555.97999999998,347576.44,166282.61000000002,409785.72000000003,389692.86,1.0473846123344523,0.8994349270282993,1.6300464754186774,1.1726641936826072,2.1774064686847434,2.5370463733960062
Bowtie1_v37_M_O_fraction,15362,10595,0.4309915476620722,84037.76,64540.5,170333.52000000002,84410.42,192739.81,183838.15,0.5553792064289301,0.4220098603337344,0.7988215597169268,0.5952821952199945,1.024127705248168,1.1968551637033613
