"ID","logFC","logCPM","LR","PValue","FDR","significance"
"AC009230.1",-5.89086111819888,4.25444578203482,20.2184435682289,6.90836597609566e-06,0.00932175768545533,"Down-regulated"
"AC090286.1",-4.87970232148618,9.26155043969875,36.5589508332292,1.48118255553927e-09,2.36337488561845e-05,"Down-regulated"
"LINC02375",-3.9607308417859,4.76431332516443,15.4984702921157,8.25720494073012e-05,0.0399248369800878,"Down-regulated"
"AC104078.1",-3.51840720566448,7.62949819303468,30.594126250007,3.18055175629036e-08,0.00020925523498682,"Down-regulated"
"FBXL19-AS1",-3.4919418166717,10.1631915092258,19.8955542716837,8.17903030812074e-06,0.00932175768545533,"Down-regulated"
