ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
CR392039.3,lncRNA,0.07,0.0,0.0,0.0,0.05,0.2
CR559946.1,lncRNA,0.22,0.0,2.05,0.25,0.42,2.86
CR559946.2,lncRNA,1.75,2.58,1.74,2.44,8.66,5.55
CR769776.3,lncRNA,0.83,1.9,0.0,1.59,3.75,3.56
CR786580.1,lncRNA,1.05,1.27,1.29,5.38,1.95,1.98
CR936218.1,lncRNA,0.0,0.0,0.0,0.07,0.0,0.0
CR936218.2,lncRNA,0.09,0.0,0.17,0.06,3.49,3.19
CRAT37,lncRNA,0.5,2.68,0.72,5.7,4.68,8.2
CREB3L2-AS1,lncRNA,0.0,0.41,0.2,0.63,1.36,7.3
CRIM1-DT,lncRNA,2.0,0.0,0.17,0.5,2.51,0.57
CRNDE,lncRNA,9.81,7.46,12.68,25.68,70.59,49.39
CRPPA-AS1,lncRNA,0.57,0.5,0.62,3.39,6.71,1.54
CRTC3-AS1,lncRNA,4.75,3.0,1.45,0.25,3.8,2.07
CRYZL2P-SEC16B,lncRNA,2.09,7.19,3.36,3.17,55.73,17.07
CSE1L-AS1,lncRNA,0.0,1.0,0.14,4.0,0.96,1.72
CSGALNACT2-DT,lncRNA,0.96,2.56,2.16,0.66,13.15,10.6
CSMD2-AS1,lncRNA,1.45,1.32,3.64,2.73,13.97,11.42
CSNK1G2-AS1,lncRNA,0.11,1.96,2.59,2.96,4.45,5.89
CSPG4P1Y,lncRNA,0.25,0.05,0.0,0.39,1.7,0.56
CSPG4P2Y,lncRNA,0.25,0.05,0.0,0.39,1.7,0.56
CSRP3-AS1,lncRNA,0.25,0.62,0.25,0.0,3.64,2.61
CSTF3-DT,lncRNA,1.78,3.33,7.65,3.66,14.0,14.33
CT62,lncRNA,8.71,9.07,36.19,17.27,18.14,21.82
CT66,lncRNA,2.2,1.62,1.11,0.38,14.87,9.55
CT69,lncRNA,0.33,2.35,3.6,0.74,6.59,7.11
CT70,lncRNA,0.86,2.6,0.72,4.97,9.84,10.81
CTB-178M22.2,lncRNA,0.31,0.17,1.83,3.17,0.79,0.5
CTBP1-AS,lncRNA,5.33,4.56,8.59,3.06,37.81,19.0
CTBP1-DT,lncRNA,4.51,7.48,9.76,6.33,48.61,41.0
CTC-338M12.4,lncRNA,3.08,4.5,3.66,3.35,19.81,13.76
CTD-2194D22.4,lncRNA,0.2,0.74,0.73,0.21,4.89,4.2
CTD-2297D10.2,lncRNA,5.68,3.53,11.33,2.36,25.99,14.15
CTD-2350J17.1,lncRNA,0.17,0.24,0.83,2.0,6.02,2.27
CTD-3080P12.3,lncRNA,0.48,2.58,1.77,3.31,6.63,10.99
CTNNA2-AS1,lncRNA,0.23,6.36,0.57,0.05,5.04,4.26
CU104787.1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.59
CU633904.1,lncRNA,1.71,0.62,0.69,0.36,7.11,6.64
