ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
AC003086.1,lncRNA,1,0,1,0,2,2
AC003087.1,lncRNA,0,0,0,0,1,1
AC003092.1,lncRNA,1,0,2,0,44,34
AC003092.2,lncRNA,0,0,0,0,0,1
AC003093.1,lncRNA,5,2,3,7,6,6
AC003098.1,lncRNA,0,1,0,0,1,2
AC003101.1,lncRNA,0,0,0,2,2,4
AC003101.2,lncRNA,0,2,0,1,5,3
AC003102.1,lncRNA,15,11,6,11,38,36
AC003659.1,lncRNA,0,1,0,0,0,0
AC003666.1,lncRNA,1,1,0,4,3,1
AC003681.1,lncRNA,44,63,52,77,170,202
AC003682.1,lncRNA,0,1,0,0,0,1
AC003684.1,lncRNA,3,17,8,11,8,7
AC003685.1,lncRNA,0,0,0,0,0,1
AC003687.1,lncRNA,0,0,0,0,1,1
AC003688.2,lncRNA,0,2,0,0,1,2
AC003950.1,lncRNA,0,0,0,0,1,0
AC003956.1,lncRNA,0,0,0,2,3,0
AC003958.2,lncRNA,4,2,1,1,32,19
AC003965.1,lncRNA,1,0,2,2,4,2
AC003965.2,lncRNA,0,0,0,4,2,1
AC003973.1,lncRNA,2,2,0,4,10,12
AC003975.1,lncRNA,0,0,0,2,0,0
AC003982.1,lncRNA,2,2,1,3,11,8
AC003984.1,lncRNA,3,2,1,2,3,7
AC003985.1,lncRNA,0,0,0,0,2,1
AC003986.1,lncRNA,4,1,6,6,16,28
AC003986.2,lncRNA,1,0,1,2,2,5
AC003986.3,lncRNA,0,0,1,2,14,11
AC003988.1,lncRNA,0,2,0,1,6,4
AC003991.1,lncRNA,1,7,1,6,11,15
AC004000.1,lncRNA,0,1,0,2,0,0
AC004009.1,lncRNA,0,2,0,0,2,3
AC004012.1,lncRNA,0,0,1,4,1,1
AC004014.1,lncRNA,0,0,0,0,0,1
AC004023.1,lncRNA,1,0,0,0,19,10
AC004034.1,lncRNA,1,0,1,0,2,2
AC004039.1,lncRNA,1,2,1,6,0,1
AC004052.1,lncRNA,1,0,0,1,1,1
AC004053.1,lncRNA,0,0,2,0,2,3
AC004054.1,lncRNA,0,0,0,0,1,1
AC004063.1,lncRNA,0,1,0,1,1,1
AC004066.1,lncRNA,1,0,0,0,0,0
AC004067.1,lncRNA,0,0,1,0,0,1
AC004069.1,lncRNA,0,6,0,2,0,3
AC004076.2,lncRNA,2,1,2,6,8,10
AC004080.1,lncRNA,1,0,5,1,12,13
AC004080.17,lncRNA,0,0,0,1,3,1
AC004080.2,lncRNA,0,0,2,0,5,6
AC004080.4,lncRNA,4,4,4,2,13,20
AC004080.5,lncRNA,0,0,0,0,4,1
AC004080.6,lncRNA,0,0,0,0,4,2
AC004083.1,lncRNA,4,2,3,5,20,16
AC004112.1,lncRNA,0,0,0,0,1,1
AC004129.3,lncRNA,2,0,0,0,5,2
AC004130.2,lncRNA,0,0,1,0,11,9
AC004147.1,lncRNA,0,0,0,3,1,1
AC004147.2,lncRNA,1,2,2,4,10,9
AC004147.3,lncRNA,0,2,0,0,0,0
AC004147.4,lncRNA,2,4,2,5,10,6
AC004147.5,lncRNA,0,0,0,0,1,1
AC004148.1,lncRNA,4,2,1,3,7,8
AC004156.1,lncRNA,60,96,104,78,118,179
AC004158.1,lncRNA,4,4,6,5,20,15
AC004160.1,lncRNA,3,5,1,4,15,17
AC004160.2,lncRNA,0,0,0,1,1,3
AC004217.1,lncRNA,0,4,0,1,1,2
AC004221.1,lncRNA,0,3,1,0,4,3
AC004223.2,lncRNA,0,0,0,0,0,2
