ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
MRGPRG-AS1,lncRNA,1.0,1.0,0.5,2.0,10.0,3.0
MROCKI,lncRNA,0.0,0.0,1.0,1.0,1.0,2.0
MRPL20-AS1,lncRNA,27.0,18.5,52.0,23.0,146.0,97.5
MRPL20-DT,lncRNA,0.0,0.0,0.0,3.0,1.0,2.0
MRPL23-AS1,lncRNA,1.0,3.0,1.0,2.0,6.5,4.0
MRPS30-DT,lncRNA,1.0,0.0,0.0,0.0,0.0,0.0
MRPS9-AS1,lncRNA,0.0,0.0,1.0,0.0,1.0,1.5
MRTFA-AS1,lncRNA,1.0,1.0,0.0,0.0,0.0,4.0
MSC-AS1,lncRNA,1.5,6.0,6.5,1.5,23.0,25.0
MSH2-OT1,lncRNA,0.0,0.0,0.0,0.0,1.0,4.0
MTOR-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,3.0
MTUS2-AS1,lncRNA,1.0,0.0,1.0,0.0,4.0,5.0
MUC12-AS1,lncRNA,0.5,0.5,0.5,1.0,0.0,0.0
MUC20-OT1,lncRNA,6.5,27.0,4.5,13.0,18.5,32.0
MUC5B-AS1,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
MYADM-AS1,lncRNA,1.0,0.0,2.0,1.0,5.0,3.0
MYB-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,0.5
MYCBP2-AS1,lncRNA,0.83,1.5,0.5,1.5,4.5,5.67
MYCBP2-AS2,lncRNA,1.0,0.0,0.0,0.0,2.0,1.0
MYCL-AS1,lncRNA,0.0,0.0,0.0,0.0,1.5,0.0
MYCNOS,lncRNA,5.0,1.0,2.0,8.5,19.5,20.0
MYCNUT,lncRNA,0.0,0.0,0.0,0.0,2.0,1.0
MYG1-AS1,lncRNA,0.0,0.5,0.5,0.5,1.83,0.33
MYHAS,lncRNA,0.5,0.0,1.5,0.0,2.5,3.0
MYLK-AS1,lncRNA,0.0,0.0,1.0,6.0,11.5,9.0
MYLK-AS2,lncRNA,0.0,0.0,0.0,0.0,3.0,3.0
MYO16-AS1,lncRNA,0.0,0.0,0.0,0.0,2.0,7.0
MYO16-AS2,lncRNA,0.0,0.0,0.0,0.0,1.0,0.0
MYO18B-AS1,lncRNA,6.5,3.0,1.5,7.0,13.5,12.0
MYO3B-AS1,lncRNA,2.0,1.0,3.0,2.0,8.0,5.0
MYOM3-AS1,lncRNA,3.0,1.0,0.0,0.0,1.0,0.0
MYOSLID,lncRNA,0.0,1.0,2.0,0.0,9.0,14.0
MYRF-AS1,lncRNA,0.0,0.5,5.0,4.0,7.0,8.5
MYT1L-AS1,lncRNA,0.0,0.0,1.0,0.0,5.0,6.5
MZF1-AS1,lncRNA,3.5,6.0,33.5,27.0,22.83,6.0
N4BP2L2-IT2,lncRNA,0.0,3.0,1.0,1.0,9.0,6.0
NAALADL2-AS1,lncRNA,0.0,0.0,0.0,1.0,2.0,0.0
NAALADL2-AS2,lncRNA,0.0,0.0,0.0,1.0,8.0,5.0
